年号,時代区分,人口（万人），平均年齢（才），健康寿命_男（才），平均寿命_男（才），主要産業,農業生産（主要品目）,文化的事象,政治・社会的出来事,備考
1763,江戸中期,約50-60,不詳,不詳,不詳,農業・林業・佐久間象山誕生,米・蕎麦・絹,小林一茶誕生（信濃町）,江戸の安定期,縄文・弥生から連続する農村社会
1876,明治期,約100,不詳,不詳,不詳,農業・林業,米・蕎麦・養蚕,島崎藤村出生,明治政府による県境変更・北信（南北朝系統）と中信（織田信長系統）の分裂開始,県の分裂が現代的な長野市vs松本市対立の根源
1900,明治末期,約130,不詳,不詳,不詳,農業・林業・繊維業,米・蕎麦・絹織物・りんご,高野辰之『故郷』作詞,明治政府の近代化推進,繊維産業が本格化
1920,大正期,約150,不詳,不詳,不詳,繊維・農業,米・蕎麦・絹・養蚕,堀辰雄『風立ちぬ』関連,芥川龍之介軽井沢療養,避暑地文化の成熟
1945,昭和初期・戦中,約160,不詳,不詳,不詳,農業・林業（戦時下減),米・蕎麦,翼賛体制,第二次世界大戦終結,戦後の再出発
1950,昭和初期,約170,不詳,不詳,約65,農業・林業・製造業,米・蕎麦・野菜・果実,草間彌生誕生（松本市）,信州大学設立・民主化推進,高度成長期への準備
1960,昭和中期,約175,約32,不詳,約66,農業・機械・繊維,米・蕎麦・野菜・果実・エノキタケ黎明期,ジョン・レノン軽井沢滞在・ビートルズ活動,東京オリンピック関連インフラ,
1970,昭和中期,約185,約33,不詳,約68,精密機械・農業・繊維,米・野菜・果実・キノコ本格化,美川憲一活躍開始,日本の高度成長ピーク,塩分摂取量：約14g/日（高血圧率全国最高）
1975,昭和中期,約190,約34,不詳,約69,精密機械・農業・キノコ産業,米・野菜・果実・エノキタケ・ブナシメジ本格化,久石譲生年（1950），高度成長期，高血圧対策開始
1980,昭和後期,約193,約35,不詳,約70,精密機械・農業・キノコ産業,米・野菜・果実・キノコ（全国シェア上昇）,新海誠生年（1973），医療・健康寿命への関心増加,塩分摂取量：低下トレンド開始
1985,昭和後期,約195,約36,不詳,約71,精密機械・農業・キノコ産業,米・野菜・果実・キノコ・エノキ生産量増加,味噌消費習慣の健康効果が注目される開始,塩分対策が功を奏す
1990,平成初期,約197,約37,約71,約72,精密機械・農業・キノコ産業・観光,米・野菜・果実・キノコ（エノキ全国50%に接近），新海誠監督キャリア開始,バブル期の観光需要増加
1995,平成中期,約198,約38,約72,約73,精密機械・農業・キノコ・観光,米・野菜・果実・キノコ（エノキ50%達成）,King Gnu常田大希・井口理生年前後（1991-92），阪神淡路大震災・地域防災意識向上
2000,平成末期,約199,約39,約72,約74,精密機械・農業・キノコ・観光・電子産業,米・野菜・果実・キノコ（本格化）・水力発電,新海誠『ほし のこえ』製作,健康寿命延伸政策本格化・PPK理想の提唱
2005,平成末期,約200,約40,約73,約75,精密機械・農業・キノコ・観光・電子産業,米・野菜・果実・キノコ（成熟期）,新海誠『秒速5センチメートル』製作,高齢化率が全国平均を上回り始める
2010,平成末期～平成,約201,約41,約74,約76,精密機械・農業・キノコ・観光・電子産業,米・野菜・果実・キノコ（需要安定）,新海誠『星を追う子ども』,タブレット教育・学習環境変化
2015,平成末期,約202,約42,約75,約77,精密機械・農業・キノコ・観光・電子産業・北陸新幹線開通,米・野菜・果実・キノコ（安定供給），新海誠『君の名は。』大ヒット・全国興行収入250億円,北陸新幹線（長野-金沢間）開通・東京～金沢3時間,移住希望地1位に浮上
2016,平成末期,約202.5,約42,約75,約77,精密機械・農業・キノコ・観光・電子産業,米・野菜・果実・キノコ,NHK大河ドラマ『真田丸』放映・地域観光ブース,移住受け入れ加速
2018,平成末期～令和初期,約203,約42.5,約75.5,約77.5,精密機械・農業・キノコ・観光・デジタル産業,米・野菜・果実・キノコ，新海誠『天気の子』製作・大ヒット，働き方改革・テレワーク開始検討，移住人気地1位継続
2020,令和初期,約202,約43,約76,約78,精密機械・農業・キノコ・観光・デジタル産業,米・野菜・果実・キノコ,COVID-19パンデミック・観光業打撃・リモートワーク加速,二地域居住・ワーケーション注目
2022,令和,約201,約43.5,約76.5,約78.5,精密機械・農業・キノコ・観光・デジタル産業・再生可能エネルギー,米・野菜・果実・キノコ・太陽光発電,新海誠『すずめの戸締まり』製作・大ヒット,デジタル雇用の地方創生への活用
2026,令和（推定），約200.5,約44.5,約77,約79.5,精密機械・農業・キノコ・観光・デジタル産業・再生可能エネルギー,米・野菜・果実・キノコ（需要安定）,現在・King Gnuなど若手アーティストが国際的活躍,全国1位移住希望地継続・人口流動化・高齢化率30%超予測,2030年の姿を見据えた地域活性化施策
