方言・表現,読み方,意味・定義,一般的な日本語との違い,使用例・文脈,地域分布,使用年代,物語活用のポイント,出典確認推奨
前向き駐車,まえむきちゅうしゃ,「バックで駐車すること（車の頭を前に向けて出す状態）」,一般的には「車の頭から突っ込む駐車」の意味と逆,「前向き駐車してください」,コンビニ・駐車場の標識,全世代,敵の罠・コミュニケーション誤解・ローカル知識の必要性,交通標識・駐車場看板の実態確認推奨
ごしたい,ごしてー,「疲れた」「体がだるい」,関連する標準語はない・感情の軽い発話,「あー、ごしてー（疲れた）」「ごしてーから寝る」,中信・東信が中心,全世代（特に若年層で使用）,戦闘後のリアリティある台詞・キャラクターの感情表現,県民インタビュー・若年層の会話記録
いただきました,いただきました,食事前後の挨拶（「いただきます」的な役割）,「ごちそうさま」の意味ではなく食事開始の挨拶・食事終了時も使われることがある,「いただきました」（食事開始前）・「ごちそうさん」（終了時）,北信・中信で定着,全世代・特に年配層,県民の食事文化・外来者の混乱・コミュニケーション・ギャップの表現,食事風景ドキュメンタリー・県民家庭調査
なから,なから,「だいたい」「おおよそ」「適当に」,程度を表す方言・「大体」「まあ」の感覚に近い,「なからでいいじ（適当でいいよ）」「なから５時ぐらい」,中信・南信が中心,中高年層で特に使用,精密機械を作る一方で日常会話ではアバウトさを許容・県民性の複雑さ・職人気質と大雑把さの両立,県民日常会話・工業従事者のインタビュー
〜ずら,ずら,「〜でしょう」「〜だろう」を意味する終助詞,「〜だろう」よりもカジュアル・推測や確認のニュアンス,「そうずら」「行くずら」「あれずら」,南信・中信（静岡・山梨と共通）,高齢者層で定着・若年層ではレア,キャラクターの方言演技・世代表現・親近感・親しみやすさ,方言辞典・『ゲゲゲの鬼太郎』（鬼太郎の父親キャラが使用）・『妖怪ウォッチ』（コマさん）
〜じゃんね,じゃんね,「〜じゃないか」「〜ですよね」を意味する（文末表現）,標準語の「〜じゃないですか」より砕けた・確認や同意を求める,「そうじゃんね」「来るじゃんね」,北信・中信全域,全世代,親密さを表現・日常的な会話・友人同士の会話,県民日常会話・方言研究
〜だら,だら,「〜だろう」「〜だろうね」を意味する（南信特有）,南信の三河弁的特性・「〜だろう」の砕けた言い方,「そうだら」「知らんだら」,南信（飯田市・伊那市周辺）が中心,全世代・特に地元民,南信の独特性・地域アイデンティティ・三河文化との接点,南信方言研究・言語学論文
〜りん,りん,「〜という」「〜ということ」を意味する（南信特有），南信の方言・「〜りん」で文が終わることもある,「そういう話りん」「行くりん」,南信（飯田市・伊那市周辺）が中心,中高年層で特に使用,南信の独特な言語体系・地域の閉鎖性と言語の進化,南信方言研究・国立国語研究所の言語地図
「あん」,あん,「相手の言葉に対する軽い同意」の返答,「ああ」「はい」「了解」の意味で、返答が必要な場面での返事,「あん、分かった」「あん、やってみる」,中信を中心に全域,全世代,軽い返答・カジュアルさ・都会との違い・親密さ,県民日常会話
「せんで」,せんで,「〜しないで」「〜するな」を意味する,禁止や指示のニュアンス・「やるなよ」的な親しみやすい指示,「いじめるせんで」「そんなことするせんで」,全県的に使用,全世代,親友同士の友好的な指示・軍事命令ではなく日常の親密な指示,県民インタビュー・家族会話
「〜え」,え,「〜だよね」「〜でしょう」を意味する終助詞,東京方言の「〜え」とは異なる・老年層の話し言葉,「そうえ」「知らんえ」「行くえ」,全県的に使用,特に年配層,年配キャラの自然な会話・世代の違いの表現,方言辞典・年配者インタビュー
「いたした」,いたした,「〜してしまった」「〜した」を意味する過去形・くだけた言い方,標準語の「した」「してしまった」より親しみやすい・反省や気づきのニュアンス,「忘れていたした」「やっていたした」,全県的に使用,全世代,後悔・反省の表現・キャラクターの素朴さ・親密な回想,県民日常会話
