出典項目,対象章,内容・検証項目,推奨出典・参考資料,優先度,備考
小林一茶著作・生涯,第14章,俳人一茶の作品・信濃での活動,『一茶文集』『一茶日記』信濃町郷土資料,高,世界俳句協会データベース・国立国会図書館
葛飾北斎「北斎館」資料,第14章,小布施での肉筆大作製作・高井鴻山の支援,小布施町北斎館公式資料・『北斎と高井鴻山』,高,現地調査・館蔵資料確認推奨
真田幸村戦記・城郭,第3-4章,上田合戦・松代領・不惜身命の精神,『真田幸村伝』『上田城址資料館』展示資料・長野県教委,高,2016年NHK大河ドラマ参考資料
佐久間象山記念館資料,第14章,幕末思想家・兵学者としての業績,『象山文集』『松代象山地の館』公式資料,高,松代の碑文・家系図確認
島崎藤村『夜明け前』『千曲川のスケッチ』,第14章,文学作品・信州描写の精密度,『島崎藤村全集』新潮社・岩波文庫,高,村の風景地点の確認推奨
高野辰之「故郷」製作背景,第14章,作詞家・国文学者・唱歌『故郷』『紅葉』,『唱歌文化史』『高野辰之研究』中野市教委,高,文部省唱歌アーカイブ・音源確認
草間彌生松本市美術館所蔵,第14章,前衛美術家・水玉カボチャの製作地,松本市美術館公式カタログ・『草間彌生自伝』,高,美術館での実物確認
久石譲スタジオジブリ作品,第14章,映画音楽家・『千と千尋』『ハウルの動く城』,スタジオジブリ公式資料・久石譲オフィシャルサイト,高,映画パンフレット・インタビュー
新海誠アニメーション作品,第14章,『君の名は。』『天気の子』『すずめの戸締まり』での長野風景,新海誠監督作品公式資料・映画パンフレット,高,作品背景美術ロケーション確認
長野県の出身著名人リスト,第14章,全著名人の確認・カテゴリ分け,長野県公式ポータル・各市町村観光課資料,中,Wikipediaカテゴリ「長野県出身の人物」との照合
King Gnuメンバー出身地,第14章,常田大希・井口理の伊那市出身確認,King Gnu公式プロフィール・インタビュー記事,高,音楽雑誌インタビュー・SNS確認
GLIM SPANKYメンバー出身地,第14章,松尾レミ（豊丘村）・亀本寛貴（飯田市）,GLIM SPANKY公式プロフィール・インタビュー,中,バンド公式サイト・音楽メディア
Fossa Magna地質学,第1-2章,日本列島の地質分界・西日本と東日本の地学的分岐,『日本の地質』産業技術総合研究所・『Fossa Magna』東京大学出版,高,日本地学会資料・GPS測定データ
地磁気・地場情報,第2章,磁北の位置・地磁気偏角の地域差,国土地理院「磁気図」・NICT地磁気データベース,中,GPS・羅針盤の精度確認用
蛇紋岩地帯の工業的課題,第2章,トンネル工事での蛇紋岩による困難・地質工学的問題,『日本の土木工学課題』日本土木学会・建設省資料,中,実際の工事記録・技術者インタビュー
長野県インフラ整備(新幹線・道路),第2章,北陸新幹線開通年（2015年）・飯山線・上信越道,国土交通省統計・JR東日本プレスリリース,高,事業評価報告書・地域経済データ
御柱祭（諏訪大社）死傷者数・危険性,第4章,1999年以降の死傷者統計・「木落とし」での事故,諏訪大社公式記録・NHK取材資料,高,報道アーカイブ・警察統計確認推奨
御柱祭の歴史・起源,第4章,推定1400年の伝統・6年ごと開催・全国最大規模,『諏訪大社史』『御柱祭文化史』諏訪市教委,高,宮司インタビュー・伝承資料
農業生産統計・野菜・果実,第5-7章,りんご生産量（青森に次ぐ全国2位）・ぶどう（全国1位），農林水産省「生産農業所得統計」,高,年度別統計確認・地域別集計
エノキタケ生産量,第7章,年間10万トン超・全国シェア約50%,農林水産省「特用林産物統計」・業界団体データ,高,工場訪問・生産量確認
ブナシメジ生産量・市場,第7章,全国シェア約30%・自動化技術の進展,農林水産省「特用林産物統計」・食品産業新聞,中,メーカー訪問・生産技術確認推奨
信州味噌の全国シェア,第8章,50%シェア説の検証・赤味噌vs豆味噌構成,農林水産省「味噌統計」・全国みそ工業協同組合,高,製造量・消費量データ確認
野沢菜漬け原産地認定,第8章,野沢温泉村限定・地理的表示保護申請,野沢温泉村観光局・特許庁GI登録資料,高,製造元リスト・PGI基準確認
野沢菜の栄養・長寿との関連性,第9章,ビタミンC・カルシウム含有量・腸活への寄与,信州大学栄養学部研究・医学部疫学研究,中,査読論文・学位論文確認推奨
長野県平均寿命・健康寿命,第9章,男性1位・女性が全国上位・PPK達成率,厚生労働省「生命表」・「介護保険統計」,高,5年ごとの公式統計・都道府県比較表
塩分摂取量低下トレンド,第9章,1960年代の高血圧・1980年代以降の改善,信州大学医学部疫学研究・長野県健康福祉部資料,高,縦断研究・栄養調査データ
学校登山（3000m）の実施,第10章,田中龍作学園等での実践・生命教育的意義,学校カリキュラム・教育委員会資料,中,実施校リスト・参加生徒数確認
無言清掃の教育的意義・実施率,第10章,瞑想・Zen修行との関連・全国的な波及,教育委員会資料・学校教育現場調査,中,実施校アンケート・効果測定研究
県民性格と「信州人根性」,第10-11章,不屈・寒冷地適応・独立心,『信州人研究』長野県立大学・県民意識調査,中,アンケート・社会学的研究確認推奨
松本走り（危険運転パターン）,第11章,地域特性の運転行動・事故統計との相関,長野県警察統計・交通安全センター資料,中,事故データ・市民意識調査
長野市vs松本市の歴史的対立,第12章,1876年の県境変更による分裂・信州ダービーとの関連,『長野県市町村合併史』県教委・『松本市史』,高,歴史文献・新聞報道アーカイブ
信州ダービー（Parceiro vs Yamaga FC）,第12章,「日本一殺気立っているダービー」の根拠・観客動員,日本フットボール協会統計・地域紙報道,高,試合記録・ファン層調査
地域文化圏（東信・南信・北信の向き），第12章,東信:東京志向・南信：名古屋志向・北信：新潟志向,経済産業省「地域経済分析」・新聞投票圏分析,中,消費統計・通勤・通学データ
南信の方言「〜だら」「〜りん」,第12章,三河弁との共通性・言語学的系統,国立国語研究所「日本言語地図」・大学言語学研究室,中,言語学研究者インタビュー・方言調査データ
移住者増加トレンド・二地域居住,第13章,移住人気全国No.1・デュアルライフ・ワーケーション,内閣官房「まち・ひと・しごと創生本部」統計,高,年度別統計・市町村別データ
移住者と地域の摩擦事例,第13章,新旧住民の生活様式の衝突・隣組参加要求など,新聞報道・地域社会学研究,中,ケーススタディ・インタビュー記事
野生動物被害（鳥獣害）統計,第13章,イノシシ・シカ・クマによる農作物被害額,農林水産省「野生鳥獣被害統計」・県農政部,高,被害額・地域別集計
ニホンジカ・イノシシ個体数推移,第13章,剥皮被害・食害の拡大・個体数制御政策の評価,環境省「野生動物管理統計」・県自然保護課,中,捕獲数・個体密度推定
外来植物・外来生物の侵入状況,第13章,オオキンケイギク・オオハンゴンソウ等,環境省「外来生物被害統計」・県教委,中,分布図・生態系影響調査
隣組・常会の現在の機能,第11章,災害時の相互扶助・社会的規範維持,市町村自治会連合会資料・社会学研究,中,参加率アンケート・災害時活動記録
信州大学繊維学部の研究,第5-6章,テキスタイル工学・素材研究の国際拠点,信州大学公式資料・研究機関ディレクトリ,高,研究論文・プレスリリース確認推奨
JAXA臼田宇宙空間観測所,第6章,深宇宙通信・月面着陸機との通信,JAXA公式サイト・臼田町観光資料,高,取材・見学ガイド確認
長野県の高地立地と農業技術,第7章,冷涼気候・昼夜の温度差・高原農業モデル,農林水産省「農業技術資料」・大学研究,中,技術者インタビュー推奨
水引工業・高山村の生産シェア,第5章,全国70%以上・手組みから半自動化へ,高山村役場産業課・『高山村の水引文化』,高,工房訪問・生産データ確認
ギター製造（浜松・中信の関係）,第5章,ヤマハ・その他メーカーの立地・音質の地域差,楽器製造業界資料・ギター工房インタビュー,中,工場見学・職人インタビュー推奨
木曽檜・赤松の全国的地位,第6章,建築・神社仏閣用材としての評価・樹齢・品質,林野庁「木材統計」・『日本の銘木』,高,木材業者インタビュー・現地視察
御柱用樹齢200年超ヒノキの調達,第4章,6年ごと16本・樹林管理・計画伐採,諏訪大社・林野庁「御柱用材確保計画」,中,林業組合への取材推奨
穂高わさび園のわさび栽培,第7章,中信・清流での栽培・本わさびの流通,わさび産地協会・農林水産省特産品統計,中,農家訪問・栽培技術確認
昆虫食文化（イナゴ・ヘボ・ざざむし）,第8章,タンパク質源・地域食文化・採取時期・危険性,『日本の昆虫食文化誌』『信州の食文化』県教委,中,採取者インタビュー・栄養分析データ
ヘボ採取と蜂毒被害,第8章,クロスズメバチ幼虫・秋季採取・死亡事例,医学部研究室・保健所統計・昆虫学会,中,医学論文・被害統計確認推奨
ざざむし採取地・河川環境,第8章,中信・南信河川（天竜川支流など）・生物指標,環境省「河川生物多様性調査」・県水産課,中,現地調査・採取者インタビュー
長野県の平均年齢・高齢化率,第9-10章,全国有数の長寿県・介護保険統計,総務省「人口統計」・厚生労働省「介護保険統計」,高,5年ごとの公式統計
健康寿命延伸・PPK（ピンピン・コロリ）理想,第9章,医療費削減と生活の質・地域的取組み,信州大学医学部・地域医療学研究,中,政策資料・住民意識調査推奨
松本城の歴史・建築,第3-4章,1594年築城・国宝・『松本市史』,松本城管理事務所・『国宝松本城』,高,文化庁資料・現地視察
善光寺・参道文化,第3-4章,日本有数の参拝客・戸隠信仰との関連,善光寺公式資料・『善光寺史』長野市教委,高,宗教史文献・参拝統計
戸隠神社・修験道の伝統,第4章,修験道・奥社・山岳信仰の中心地,戸隠神社公式・『戸隠信仰史』,中,宮司インタビュー・信仰実態調査
Jomon遺跡・黒曜石交易網,第3章,岡村遺跡ほか・交易ネットワークの広がり,長野県立歴史館展示・考古学会報告,高,発掘報告書・遺物分析データ
蓼科山・浅間山の民俗信仰,第4章,御嶽信仰・修験道・麓の村落社会,『日本の山岳信仰』『信州の民俗宗教』,中,民俗学研究・神社資料
農業施設の耐雪設計,第2章,積雪地帯のハウス・温室・耐荷重設計,建築学会「雪荷重設計基準」・県土木部資料,中,技術資料確認推奨
