品目,カテゴリ,産地（四大地域）,全国順位・シェア,特徴・基礎データ,出典確認推奨
りんご,農産物,中信（長野市・須坂市・山辺),全国2位（青森に次ぐ）,品種数多い・「りんご3兄弟」（秋映・シナノスウィート・シナノゴールド）
ぶどう,農産物,中信・南信（飯山・須坂・塩尻),全国2位（巨峰・シャインマスカット等はトップクラス・シェア15-20%），フルーティな甘味・種なしが主流
桃,農産物,中信（上田市周辺）,全国3位,甘い品種育成・白桃が代表
栗,農産物,南信（軽井沢・佐久地方）,全国1位,栗御飯用品種開発・甘栗生産
野沢菜,農産物,北信（野沢温泉村）,全国唯一原産地,漬物用・地域限定ブランド・健康野菜代表
エノキタケ,農産物・キノコ,中信（長野県全般）,全国1位（約60%シェア）,缶詰・生産量年間10万トン超・工業化による産業化
ブナシメジ,農産物・キノコ,中信全域,全国1位（約30%シェア）,天然品質を目指した人工栽培・食感で差別化
オニフスベ（ホコリタケ）,農産物・キノコ,林間地全般,全国有数,野生採取・珍味として扱い
うち豆（インゲン豆）,農産物,中信（東部）,重要産地,干し豆として用途・発酵食との組み合わせ
スイートコーン,農産物,中信・東信,全国有数産地,甘み強い品種・新鮮度が売り
レタス,農産物,中信（標高600-1200m高冷地）,全国1位,高原野菜・冷涼気候を活用・生鮮流通時間が短い
セロリ,農産物,中信（標高600-1200m高冷地）,全国1位,高原野菜・冷涼気候を活用・香り・脆さで評価
わさび,農産物・香辛料,中信・北信（清流周辺）,全国有数,水わさび栽培環境・本わさび生産
山菜類（ぜんまい・わらび・こしあぶら）,農産物,各地の林間,季節採取・地域食文化,地
寒天,農産物・加工食品,中信（茅野市・原村周辺）,全国90%以上シェア,高冷地・昼夜温度差を活用・伝統天日干し製法・現代ダイエット食品として再注目元消費が中心・商品化進む
蜂蜜（野生），農産物,各地森林,地域産蜂蜜,采蜜地の多様性・高地産の質
そば粉,農産物・穀類,中信・北信（山麓）,全国有数産地,更科そば発祥・良質粉の代名詞
味噌,加工食品,県全域（伝統），全国50%シェア,赤味噌・豆味噌伝統・アマ（甘）が県民好み
野沢菜漬け,加工食品,北信（野沢温泉村原産）,地域限定・知名度高,発酵漬物・ご飯のお友代表
高菜漬け,加工食品,各地,地域産・秋漬け伝統,シャキシャキ食感・ご飯に合わせる食文化
すんき漬け（赤カブ漬け）,加工食品,南信（木曽）,地域限定品,赤かぶ漬け・木曽の伝統食・酸味が特徴
長野漬け,加工食品,各地,県内で一般的,複合野菜漬け・複数野菜の組合せ
まな板漬け,加工食品,各地,地域消費,野菜の端材活用・廃棄削減が本義
こうじ漬け,加工食品,各地,地域消費,麹を使う漬物・塩分控えめ健康志向
塩辛（いかの塩からい）,加工食品,北信・東信,海なし県の代表的食,塩丸いか・塩辛い食感・海への補償心理
山賊焼き,郷土料理,北信（野沢温泉・斑尾山周辺）,地元食・観光名物,鶏肉の漬け焼き・にんにく・辛味
おやき,郷土料理,県全域,全国知名度，野菜を包んだ焼き菓子・昼食代わり・栗あんが高級品
みそかつ,郷土料理,中信（松本周辺），地域アイデンティティ，味噌だれをかけたとんかつ・名古屋文化影響
からあげ,郷土料理,各地,家庭食・屋台,醤油ベースの揚げ,鶏肉が主流
カエルの唐揚げ,郷土料理・珍味,田んぼ周辺,地域消費,蛙を揚げたもの・タンパク質源
イナゴの佃煮,郷土料理・昆虫食,水田周辺,全国的知名度,稲穂に群がるイナゴを佃煮・タンパク質・栄養
ヘボ（クロスズメバチ幼虫）,郷土料理・昆虫食,山野（中信・北信）,地域限定・採取者少数,蜂の子・タンパク質・高級珍味・採取時期限定
ざざむし（トビケラ幼虫）,郷土料理・昆虫食,清流(中信・南信河川),珍味・栄養価高,川の昆虫幼虫・佃煮用
信州牛,食肉,県全域（飼育地）,ブランド牛,赤身質・霜降り少なめの健康志向
信州サーモン,食肉・養殖,中信（池田町など）,地域ブランド,虹鱒の品種改良・フード業界注目
信州そば,そば料理,県全域（北は特に），全国知名度,更科そば発祥・そばの質が高い・郷土食
信州蕎麦（戸隠そば）,そば料理,北信（戸隠），全国ブランド,ぐるぐる巻き蕎麦・観光地
戸隠そば,そば料理,北信（戸隠），全国知名度,ぐるぐる巻き盛付・観光食
権堂そば,そば料理,北信（権堂），地域特産,黄そば・食感が特徴
白馬そば,そば料理,北信（白馬），地域ブランド,蕎麦粉質・あっさり味
麻績そば,そば料理,中信（麻績村）,地域産,そば粉質・水質由来
そば汁（つゆ）,調味料・食材,県全域,郷土食,味噌ベース・砂糖少なめの甘めより
漬物類（多数）,加工食品,県全域,消費文化,毎日食べる食文化・ご飯のお友・健康食
清酒,飲料,県全域（各地酒蔵）,全国有名酒地,米・水質・麹菌・複数蔵の銘柄
日本酒,飲料,中信・南信特に,地域ブランド,地酒文化・紀元節祭「御柱祭」での消費
紅茶・緑茶,飲料,中信（山麓）,地域産地,玉露・抹茶・深蒸し茶
堆朱（ついしゅ），工芸品,北信（黒田地区など），全国唯一・高級品,漆工芸・赤漆の彫刻・茶盌・装飾品
水引（みずひき）,工芸品,北信（高山村・長野市周辺）,全国70%シェア,結婚式・慶弔の装飾・伝統手工業
竹細工,工芸品,各地（特に竹林地）,地域職人,竹籠・茶道具・生活雑貨
長野人形,工芸品,北信（門松・巳の彫刻）,民芸品,木製人形・地域限定
木彫り（仏像・動物）,工芸品,北信・中信（特に寺社周辺）,職人手作り,彫刻の精密さ・民芸品需要
漆器（塗り物）,工芸品,県全域,日本の伝統工芸,カラバリ・用途多様・高級品
和紙（信州和紙），工芸品,中信（東部）・北信,伝統工芸品,手漉き・雁皮紙・質感
白鳥（織物），工芸品,南信（白川村）,珍しい織物,白い地色・帯織物
絣（かすり），工芸品,中信・南信,民芸品,濃紺・白の組合わせ
ギター,楽器・工業製品,中信（浜松市に近い製造地区あり），全国有数,木質感・音色で評価
御柱（樹齢200年超の檜）,木材・工芸材料,南信（木曽）,特殊用途,御柱祭用・建築用
木曽檜,林産物・建築材,南信（木曽）,全国有名木材,香り・耐久性・建築・神社仏閣用
赤松,林産物・建築材,県全域の林,建築・工芸用,樹脂多い・耐久性
ヒノキ,林産物・建築材,県全域の林,建築・高級用材,香り・防虫性・神社仏閣
山菜の缶詰,加工食品,各地(工業化）,全国流通,ぜんまい・わらび・こしあぶら缶
山ウドの漬け,加工食品,各地,地域産・流通増加,独特の香り・シャキシャキ食感
くるみ菓子,菓子,県全域,民芸菓子,くるみを使った和菓子
栗菓子,菓子,南信特に,ブランド菓子,栗を使った羊羹・饅頭など
蕎麦菓子,菓子,県全域,地域菓子,そば粉を使ったお菓子・素朴な味
